id,first_name,last_name,credito,cargo
141,Gregory,Tomaschke,jcb,Male
142,Ailee,Scandred,switch,Female
143,Siegfried,Sharpling,diners-club-international,Non-binary
144,Kiah,Bramah,jcb,Female
145,Lind,Baddiley,jcb,Female
146,Merl,Larmor,instapayment,Female
147,Carlos,Wafer,jcb,Male
148,Geordie,Jullian,maestro,Male
149,Ginny,Ghion,jcb,Female
150,Valerie,Saywood,china-unionpay,Female
151,Kerr,Drakeley,jcb,Male
152,Dominick,Crighton,jcb,Male
153,Bernarr,McKay,mastercard,Male
154,Paule,Eland,jcb,Female
155,Dacy,Delafoy,jcb,Female
156,Barrett,Drust,americanexpress,Male
157,Sigfrid,Adamo,jcb,Male
158,Berry,Roly,jcb,Polygender
159,Bridgette,Hallowell,switch,Female
160,Yvor,Masding,jcb,Male
161,Marylynne,Teese,visa,Female
162,Kim,Fantini,jcb,Female
163,Robby,Deam,solo,Male
164,Venus,Yurshev,jcb,Female
165,Georgeanne,Forlong,jcb,Female
166,Bartie,Smyley,jcb,Male
167,Rolf,Sparrow,mastercard,Male
168,Burr,Alvaro,mastercard,Male
169,Hugo,Haydn,switch,Male
170,Nicko,Dolder,jcb,Male
171,Caressa,Oades,jcb,Female
172,Pru,Killerby,mastercard,Female
173,Domenic,Zavittieri,solo,Male
174,Bartel,Blaxall,maestro,Male
175,Paul,Drakers,jcb,Male
176,Katee,Veart,diners-club-carte-blanche,Female
177,Alwyn,Polk,jcb,Male
178,Elsie,Ludlam,china-unionpay,Female
179,Clea,Eltone,mastercard,Female
180,Mill,Pittford,switch,Male
181,Willetta,Kleinsmuntz,jcb,Female
182,Roslyn,Sheldon,mastercard,Female
183,Pierette,Graddell,jcb,Female
184,Noemi,Mapplethorpe,jcb,Female
185,Bartholomew,Rosenfrucht,maestro,Male
186,Hagan,McCrum,jcb,Male
187,Bastien,Dornan,switch,Male
188,Lemmie,Stovell,maestro,Male
189,Felix,Gainsborough,mastercard,Male
190,Chadwick,Arthy,diners-club-carte-blanche,Male
191,Robinia,Gabbidon,jcb,Female
192,Isidro,Hayer,bankcard,Male
193,Barclay,Luney,mastercard,Male
194,Ginevra,Simka,jcb,Female
195,Mikol,Cordell,jcb,Male
196,Sharai,Robardley,mastercard,Female
197,Ian,Stockings,mastercard,Non-binary
198,Tine,Leithgoe,visa-electron,Female
199,Mack,Magill,bankcard,Male
200,Lianna,Konneke,jcb,Female
